Port of Entry,Type of Visit,Origin,Month,Number of Visitors
NMIA,WED,NOREF,JANUARY,0.0
NMIA,WED,NOREF,FEBRUARY,4.0
NMIA,WED,NOREF,MARCH,0.0
NMIA,WED,NOREF,APRIL,0.0
NMIA,WED,NOREF,MAY,1.0
NMIA,WED,NOREF,JUNE,4.0
NMIA,WED,NOREF,JULY,0.0
NMIA,WED,NOREF,AUGUST,2.0
NMIA,WED,NOREF,SEPTEMBER,2.0
NMIA,WED,NOREF,OCTOBER,3.0
NMIA,WED,NOREF,NOVEMBER,4.0
NMIA,WED,NOREF,DECEMBER,1.0
NMIA,WED,AFRICA,JANUARY,1.0
NMIA,WED,AFRICA,FEBRUARY,1.0
NMIA,WED,AFRICA,MARCH,0.0
NMIA,WED,AFRICA,APRIL,3.0
NMIA,WED,AFRICA,MAY,0.0
NMIA,WED,AFRICA,JUNE,0.0
NMIA,WED,AFRICA,JULY,1.0
NMIA,WED,AFRICA,AUGUST,1.0
NMIA,WED,AFRICA,SEPTEMBER,0.0
NMIA,WED,AFRICA,OCTOBER,1.0
NMIA,WED,AFRICA,NOVEMBER,0.0
NMIA,WED,AFRICA,DECEMBER,1.0
NMIA,WED,ANTIGUA,JANUARY,2.0
NMIA,WED,ANTIGUA,FEBRUARY,1.0
NMIA,WED,ANTIGUA,MARCH,1.0
NMIA,WED,ANTIGUA,APRIL,0.0
NMIA,WED,ANTIGUA,MAY,3.0
NMIA,WED,ANTIGUA,JUNE,5.0
NMIA,WED,ANTIGUA,JULY,11.0
NMIA,WED,ANTIGUA,AUGUST,11.0
NMIA,WED,ANTIGUA,SEPTEMBER,0.0
NMIA,WED,ANTIGUA,OCTOBER,1.0
NMIA,WED,ANTIGUA,NOVEMBER,0.0
NMIA,WED,ANTIGUA,DECEMBER,3.0
NMIA,WED,ARGENTINA,JANUARY,0.0
NMIA,WED,ARGENTINA,FEBRUARY,0.0
NMIA,WED,ARGENTINA,MARCH,1.0
NMIA,WED,ARGENTINA,APRIL,5.0
NMIA,WED,ARGENTINA,MAY,2.0
NMIA,WED,ARGENTINA,JUNE,0.0
NMIA,WED,ARGENTINA,JULY,0.0
NMIA,WED,ARGENTINA,AUGUST,1.0
NMIA,WED,ARGENTINA,SEPTEMBER,0.0
NMIA,WED,ARGENTINA,OCTOBER,0.0
NMIA,WED,ARGENTINA,NOVEMBER,2.0
NMIA,WED,ARGENTINA,DECEMBER,0.0
NMIA,WED,ARUBA,JANUARY,0.0
NMIA,WED,ARUBA,FEBRUARY,0.0
NMIA,WED,ARUBA,MARCH,0.0
NMIA,WED,ARUBA,APRIL,0.0
NMIA,WED,ARUBA,MAY,0.0
NMIA,WED,ARUBA,JUNE,0.0
NMIA,WED,ARUBA,JULY,2.0
NMIA,WED,ARUBA,AUGUST,0.0
NMIA,WED,ARUBA,SEPTEMBER,0.0
NMIA,WED,ARUBA,OCTOBER,0.0
NMIA,WED,ARUBA,NOVEMBER,0.0
NMIA,WED,ARUBA,DECEMBER,0.0
NMIA,WED,AUSTRALIA,JANUARY,3.0
NMIA,WED,AUSTRALIA,FEBRUARY,2.0
NMIA,WED,AUSTRALIA,MARCH,2.0
NMIA,WED,AUSTRALIA,APRIL,0.0
NMIA,WED,AUSTRALIA,MAY,1.0
NMIA,WED,AUSTRALIA,JUNE,3.0
NMIA,WED,AUSTRALIA,JULY,0.0
NMIA,WED,AUSTRALIA,AUGUST,0.0
NMIA,WED,AUSTRALIA,SEPTEMBER,2.0
NMIA,WED,AUSTRALIA,OCTOBER,3.0
NMIA,WED,AUSTRALIA,NOVEMBER,1.0
NMIA,WED,AUSTRALIA,DECEMBER,9.0
NMIA,WED,AUSTRIA,JANUARY,0.0
NMIA,WED,AUSTRIA,FEBRUARY,0.0
NMIA,WED,AUSTRIA,MARCH,0.0
NMIA,WED,AUSTRIA,APRIL,0.0
NMIA,WED,AUSTRIA,MAY,0.0
NMIA,WED,AUSTRIA,JUNE,0.0
NMIA,WED,AUSTRIA,JULY,2.0
NMIA,WED,AUSTRIA,AUGUST,0.0
NMIA,WED,AUSTRIA,SEPTEMBER,0.0
NMIA,WED,AUSTRIA,OCTOBER,0.0
NMIA,WED,AUSTRIA,NOVEMBER,0.0
NMIA,WED,AUSTRIA,DECEMBER,0.0
NMIA,WED,BAHAMAS,JANUARY,4.0
NMIA,WED,BAHAMAS,FEBRUARY,1.0
NMIA,WED,BAHAMAS,MARCH,5.0
NMIA,WED,BAHAMAS,APRIL,9.0
NMIA,WED,BAHAMAS,MAY,6.0
NMIA,WED,BAHAMAS,JUNE,18.0
NMIA,WED,BAHAMAS,JULY,4.0
NMIA,WED,BAHAMAS,AUGUST,2.0
NMIA,WED,BAHAMAS,SEPTEMBER,0.0
NMIA,WED,BAHAMAS,OCTOBER,3.0
NMIA,WED,BAHAMAS,NOVEMBER,21.0
NMIA,WED,BAHAMAS,DECEMBER,6.0
NMIA,WED,BARBADOS,JANUARY,0.0
NMIA,WED,BARBADOS,FEBRUARY,0.0
NMIA,WED,BARBADOS,MARCH,2.0
NMIA,WED,BARBADOS,APRIL,3.0
NMIA,WED,BARBADOS,MAY,12.0
NMIA,WED,BARBADOS,JUNE,6.0
NMIA,WED,BARBADOS,JULY,19.0
NMIA,WED,BARBADOS,AUGUST,20.0
NMIA,WED,BARBADOS,SEPTEMBER,2.0
NMIA,WED,BARBADOS,OCTOBER,4.0
NMIA,WED,BARBADOS,NOVEMBER,4.0
NMIA,WED,BARBADOS,DECEMBER,14.0
NMIA,WED,BELGIUM,JANUARY,2.0
NMIA,WED,BELGIUM,FEBRUARY,0.0
NMIA,WED,BELGIUM,MARCH,0.0
NMIA,WED,BELGIUM,APRIL,2.0
NMIA,WED,BELGIUM,MAY,0.0
NMIA,WED,BELGIUM,JUNE,0.0
NMIA,WED,BELGIUM,JULY,0.0
NMIA,WED,BELGIUM,AUGUST,0.0
NMIA,WED,BELGIUM,SEPTEMBER,0.0
NMIA,WED,BELGIUM,OCTOBER,0.0
NMIA,WED,BELGIUM,NOVEMBER,0.0
NMIA,WED,BELGIUM,DECEMBER,0.0
NMIA,WED,BELIZE,JANUARY,0.0
NMIA,WED,BELIZE,FEBRUARY,0.0
NMIA,WED,BELIZE,MARCH,0.0
NMIA,WED,BELIZE,APRIL,0.0
NMIA,WED,BELIZE,MAY,0.0
NMIA,WED,BELIZE,JUNE,0.0
NMIA,WED,BELIZE,JULY,1.0
NMIA,WED,BELIZE,AUGUST,0.0
NMIA,WED,BELIZE,SEPTEMBER,0.0
NMIA,WED,BELIZE,OCTOBER,3.0
